# ion_name: O,,,,,,,,
# ion_number: 8,,,,,,,,
# ion_mass: 16,,,,,,,,
# ion_charge: 7,,,,,,,,
# machine: FRIB,,,,,,,,
# segment: LINAC,,,,,,,,
# tags: FS1A-PHASE,,,,,,,,
# app: Settings Manager,,,,,,,,
# version: 9.4,,,,,,,,
# user: zhangt,,,,,,,,
# name: 009-f7-0-15.000_1635464292.4664633,,,,,,,,
# timestamp: 1635464292.4664633,,,,,,,,
# datetime: 2021-10-28T19:38:12,,,,,,,,
# note: Row 009, 15.000 MeV, f7-#0,,,,,,
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.695359,43.5437131252928,,,0.1,
FE_MEBT:Q_D1060,I,QUAD,105.895359,48.3647938682774,,,0.1,
FE_MEBT:Q_D1062,I,QUAD,106.145359,46.7688856615649,,,0.1,
FE_MEBT:Q_D1074,I,QUAD,107.349566,36.3110343244684,,,0.1,
FE_MEBT:Q_D1076,I,QUAD,107.549566,45.0593353204009,,,0.1,
FE_MEBT:Q_D1078,I,QUAD,107.799566,42.1446425117458,,,0.1,
FE_MEBT:Q_D1095,I,QUAD,109.491838,32.1812589265225,,,0.1,
FE_MEBT:Q_D1098,I,QUAD,109.691838,43.0050780406465,,,0.1,
FE_MEBT:Q_D1100,I,QUAD,109.941838,36.0045778454928,,,0.1,
FE_MEBT:Q_D1113,I,QUAD,111.206775,8.90864553110685,,,0.1,
FE_MEBT:Q_D1115,I,QUAD,111.406775,36.889422368173,,,0.1,
FE_MEBT:Q_D1117,I,QUAD,111.656775,41.2266128172903,,,0.1,
LS1_CA01:SOL1_D1132,I,SOL,113.00086,17.0783983362578,,,0.1,
LS1_CA01:SOL2_D1146,I,SOL,114.476099,18.1156813691802,,,0.1,
LS1_CA02:SOL1_D1165,I,SOL,116.373955,17.864914044403,,,0.1,
LS1_CA02:SOL2_D1180,I,SOL,117.849194,19.5044955067948,,,0.1,
LS1_CA03:SOL1_D1199,I,SOL,119.74705,18.7688328129262,,,0.1,
LS1_CA03:SOL2_D1214,I,SOL,121.222289,18.6747662509007,,,0.1,
LS1_CB01:SOL1_D1235,I,SOL,123.266203,17.9669708603541,,,0.1,
LS1_CB01:SOL2_D1255,I,SOL,125.263929,19.2865247208881,,,0.1,
LS1_CB01:SOL3_D1275,I,SOL,127.261655,20.560123072654,,,0.1,
LS1_CB02:SOL1_D1299,I,SOL,129.638628,23.5024844862535,,,0.1,
LS1_CB02:SOL2_D1319,I,SOL,131.636354,23.723493807907,,,0.1,
LS1_CB02:SOL3_D1339,I,SOL,133.63408,29.1029374311861,,,0.1,
LS1_CB03:SOL1_D1363,I,SOL,136.011052,29.2041902941609,,,0.1,
LS1_CB03:SOL2_D1383,I,SOL,138.008778,30.4204315866414,,,0.1,
LS1_CB03:SOL3_D1403,I,SOL,140.006504,32.725378369607,,,0.1,
LS1_CB04:SOL1_D1426,I,SOL,142.383477,34.6140497256338,,,0.1,
LS1_CB04:SOL2_D1446,I,SOL,144.381203,29.7809958881421,,,0.1,
LS1_CB04:SOL3_D1466,I,SOL,146.378929,34.0171642954378,,,0.1,
LS1_CB05:SOL1_D1490,I,SOL,148.755901,31.0337555067354,,,0.1,
LS1_CB05:SOL2_D1510,I,SOL,150.753627,30.4363130702166,,,0.1,
LS1_CB05:SOL3_D1530,I,SOL,152.751353,29.8220043592952,,,0.1,
LS1_CB06:SOL1_D1554,I,SOL,155.128326,30.389316066411,,,0.1,
LS1_CB06:SOL2_D1574,I,SOL,157.126052,25.6095604184052,,,0.1,
LS1_CB06:SOL3_D1594,I,SOL,159.123778,29.0380720379361,,,0.1,
LS1_CB07:SOL1_D1618,I,SOL,161.50075,27.0687962415143,,,0.1,
LS1_CB07:SOL2_D1637,I,SOL,163.498476,25.0539840152831,,,0.1,
LS1_CB07:SOL3_D1657,I,SOL,165.496202,26.4899496777077,,,0.1,
LS1_CB08:SOL1_D1681,I,SOL,167.873175,25.7041748152171,,,0.1,
LS1_CB08:SOL2_D1701,I,SOL,169.870901,23.0621577211321,,,0.1,
LS1_CB08:SOL3_D1721,I,SOL,171.868627,24.6666243094985,,,0.1,
LS1_CB09:SOL1_D1745,I,SOL,174.245599,23.8573849554708,,,0.1,
LS1_CB09:SOL2_D1765,I,SOL,176.243325,21.4645928699587,,,0.1,
LS1_CB09:SOL3_D1785,I,SOL,178.241051,22.957294029316,,,0.1,
LS1_CB10:SOL1_D1809,I,SOL,180.618024,22.0577105617272,,,0.1,
LS1_CB10:SOL2_D1829,I,SOL,182.61575,20.4858110577777,,,0.1,
LS1_CB10:SOL3_D1849,I,SOL,184.613476,20.8120713069345,,,0.1,
LS1_CB11:SOL1_D1872,I,SOL,186.990448,20.9104297184965,,,0.1,
LS1_CB11:SOL2_D1892,I,SOL,188.988174,18.2750389554299,,,0.1,
LS1_CB11:SOL3_D1912,I,SOL,190.9859,18.0934210039436,,,0.1,
LS1_BTS:QH_D1942,I,QUAD,194.087949,12.6805298104494,,,0.1,
LS1_BTS:QV_D1950,I,QUAD,194.837949,25.3988600463018,,,0.1,
LS1_BTS:QH_D1969,I,QUAD,196.735949,32.3418219062807,,,0.1,
LS1_BTS:QV_D1976,I,QUAD,197.485949,21.3427416013843,,,0.1,
LS1_BTS:QH_D2002,I,QUAD,200.070949,46.1606473811113,,,0.1,
LS1_BTS:QV_D2013,I,QUAD,201.207161,40.4009026660811,,,0.1,
LS1_BTS:QH_D2029,I,QUAD,202.777161,45.6706288396186,,,0.1,
LS1_BTS:QV_D2042,I,QUAD,204.113373,50.8559385207925,,,0.1,
LS1_BTS:QV_D2066,I,QUAD,206.432482,54.9229988403104,,,0.1,
LS1_BTS:QH_D2073,I,QUAD,207.182482,42.2854563934683,,,0.1,
LS1_BTS:QV_D2118,I,QUAD,211.707551,30.2339920155371,,,0.1,
LS1_BTS:QH_D2126,I,QUAD,212.457551,29.7615379087719,,,0.1,
FS1_CSS:DH_D2163,I,BEND,216.170304,51.5681301073723,,,0.1,
FS1_CSS:DH_D2169,I,BEND,216.720304,51.5681301073723,,,0.1,
FS1_CSS:DH_D2174,I,BEND,217.270304,51.5681301073723,,,0.1,
FS1_CSS:DH_D2180,I,BEND,217.820304,51.5681301073723,,,0.1,
FS1_CSS:QH_D2194,I,QUAD,219.295304,21.556164963547,,,0.1,
FS1_CSS:QV_D2202,I,QUAD,220.083154,30.195920603182,,,0.1,
FS1_CSS:QH_D2215,I,QUAD,221.333154,12.3938238659655,,,0.1,
FS1_CSS:QV_D2220,I,QUAD,221.833154,0.680437769252995,,,0.1,
FS1_CSS:QV_D2254,I,QUAD,225.233154,0.540179386542107,,,0.1,
FS1_CSS:QH_D2260,I,QUAD,225.883154,10.7400372147783,,,0.1,
FS1_CSS:QV_D2272,I,QUAD,227.083154,29.5827652276883,,,0.1,
FS1_CSS:QH_D2280,I,QUAD,227.871004,22.0520290741307,,,0.1,
FS1_CSS:QH_D2356,I,QUAD,235.448301,27.7957282487998,,,0.1,
FS1_CSS:QH_D2362,I,QUAD,236.073301,47.7519403299457,,,0.1,
FS1_CSS:QV_D2372,I,QUAD,237.073301,36.8023173248924,,,0.1,
FS1_CSS:QH_D2377,I,QUAD,237.573301,0.005035329022045,,,0.1,
FS1_BTS:Q_D2409,I,QUAD,240.813181,65.193111057853,,,0.1,
FS1_BTS:Q_D2415,I,QUAD,241.416181,98.8486272182268,,,0.1,
FS1_BTS:Q_D2422,I,QUAD,242.029181,61.6740544560034,,,0.1,
